,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
S.No.,Stations,Dilshad Garden,Jhil mil,Mansrover park,Shahdara,Welcome,Seelam Pur,Shastri Park,Kashmere Gate,Tis Hazari,Pul Bangash,Pratap Nagar,Shastri Nagar,Inder Lok,Ashok Park Main,Punjabi Bagh,Shivaji Park ,Madi Pur,Paschim Vihar (East),Paschim Vihar (West),Peera Garhi,Udyog Nagar,Surajmal Stadium,Nangloai,Nangloai Rly. Station,Rajdhani Park,Mundka,Kanhaiya Nagar,Keshav Puram ,Netaji Subash Place,Kohat Enclave,Pitam Pura,RohiniEast,Rohini West,Rithala,Jahangirpuri,Adarsh Nagar,Azadpur,Model Town,GTB Nagar,Viswavidyalaya,Vidhan Sabha,Civil Lines,Kashmere Gate,Delhi Main,Chawri Bazar,Chandni Chowk,New Delhi,Rajiv Chowk,Patel Chowk,Central Secretariat,Udyog Bhawan,Race course,Jorbagh,INA,AIIMS,Green Park,Hauz Khas,Malviya Nagar,Saket,Qutab Minar,Chhattarpur,Sultanpur,Ghotorni,Arjan Garh,Gurudronacharya,Sikandarpur.,MG Road,IFFCO Chowk,Huda City Centre,Vaishali,Kaushambi,Anand Vihar,Karkar Duma,Preet Vihar,Nirman Vihar ,Laxmi Nagar,City Centre,Golf Course,Botanical Garden,Noida Sect 18,Noida Sect 16,Noida Sect 15,New Ashok Nagar,Mayur Vihar-I Ext,Mayur Vihar-I,Akshardham,Yamuna Bank,Indraprasta,Pragati Maidan,Mandi House,Barakhamba,Rajiv Chowk,RK Ashram Marg,Jhandewalan,Karol Bagh,Rajendra Place,Patel Nagar,Shadi Pur,Kirti Nagar,Moti Nagar ,Ramesh Nagar,Rajouri Garden,Tagore Garden,Subash Nagar,Tilak Nagar,Janak Puri East,Janak Puri West,Uttam Nagar East,Uttam Nagar West,Nawada,Dwaraka Mor,Dwarka,Dwarka Sector - 14,Dwarka Sector - 13,Dwarka Sector - 12,Dwarka Sector - 11,Dwarka Sector - 10,Dwarka Sector - 9,Dwarka Sector - 8,Dwarka Sector - 21,Central Secretariat,Khan Market,JLN,Jangpura,Lajpat nagar,Moolchand,Kailash Colony,Nehru Place,Kalkaji Mandir,Govindpuri,Okhla,Jasola,Sarita Vihar,Mohan Cooperative,Tughlakabad,Badarpur
1,Dilshad Garden,8,8,10,10,12,12,15,16,16,16,18,18,19,19,19,21,21,22,22,22,23,23,23,23,25,25,19,19,21,21,21,22,22,23,21,19,19,19,18,18,16,16,16,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,27,27,28,28,28,29,29,29,25,23,23,22,22,22,21,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,30,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,28
2,Jhil mil,8,8,8,10,10,12,15,15,16,16,16,18,18,19,19,21,21,21,22,22,22,22,23,23,23,25,19,19,19,21,21,21,22,22,21,19,19,18,18,16,16,16,15,16,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,27,28,28,29,29,29,23,23,22,22,22,21,21,25,25,25,23,23,23,22,22,22,21,21,19,19,18,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,18,19,21,21,22,22,22,23,23,23,25,25,25,27,27,27
3,Mansrover park,10,8,8,8,10,10,12,15,15,16,16,18,18,18,19,19,21,21,21,22,22,22,22,23,23,25,18,19,19,19,21,21,22,22,19,19,18,18,16,16,16,15,15,15,16,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,23,22,22,22,21,21,21,25,25,23,23,23,22,22,22,21,21,19,19,18,18,18,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,18,19,19,21,21,21,22,22,23,23,23,25,25,25,27,27
4,Shahdara,10,10,8,8,8,10,10,15,15,15,16,16,18,18,18,19,19,19,21,21,22,22,22,22,23,23,18,18,19,19,19,21,21,21,19,18,18,16,16,16,15,15,15,15,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,27,27,28,28,28,29,22,22,22,21,21,21,19,25,25,23,23,22,22,22,21,21,19,19,18,18,18,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,18,19,19,19,21,21,22,22,22,22,23,23,25,25,25,27
5,Welcome,12,10,10,8,8,8,10,12,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,18,18,18,19,19,19,21,21,18,18,18,16,16,15,15,15,12,15,15,15,15,16,16,16,18,18,18,19,19,19,21,22,22,23,23,25,25,27,27,27,28,28,28,22,22,21,21,19,19,19,25,23,23,22,22,22,21,21,19,19,18,18,16,16,16,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,16,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25
6,Seelam Pur,12,12,10,10,8,8,8,12,12,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,16,16,18,18,19,19,19,21,18,18,16,16,15,15,15,12,12,12,15,15,15,15,16,16,16,18,18,18,19,19,21,21,22,22,23,23,25,25,27,27,27,28,28,22,21,21,21,19,19,18,23,23,22,22,22,21,21,21,19,19,18,16,16,16,15,15,16,16,16,18,18,19,19,19,21,21,21,21,22,22,22,23,23,25,25,25,27,27,27,27,28,28,28,29,16,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25
7,Shastri Park,15,15,12,10,10,8,8,10,10,12,12,15,15,16,16,18,18,18,19,19,19,19,21,21,21,22,16,16,16,18,18,18,19,19,18,16,16,15,15,12,12,10,10,10,12,12,12,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,23,25,25,27,27,27,28,21,21,19,19,19,18,18,23,22,22,21,21,21,19,19,19,18,16,16,16,15,15,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,15,16,18,18,19,19,19,21,21,21,22,22,22,23,23,25
8,Kashmere Gate,16,15,15,15,12,12,10,8,8,10,10,12,12,15,15,16,16,16,18,18,18,19,19,19,21,21,15,15,16,16,16,18,18,18,16,15,15,12,12,10,10,8,8,8,10,10,10,12,12,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,25,25,25,27,27,19,19,19,18,18,16,16,22,21,21,21,19,19,19,18,18,16,16,15,15,12,12,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,25,25,27,27,27,28,15,15,16,16,18,18,18,19,19,19,21,21,22,22,23,23
